PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28194321","Extranodal natural killer/T-cell lymphoma presenting as orbital cellulitis","Zuhaimy H, Aziz HA, Vasudevan S, Hui Hui S.","GMS Ophthalmol Cases. 2017 Feb 6;7:Doc04. doi: 10.3205/oc000055. eCollection 2017.","Zuhaimy H","GMS Ophthalmol Cases","2017","2017/02/15","PMC5296617","","10.3205/oc000055"
"23969921","Extranodal nasal NK/T-cell lymphoma: a rare oral presentation and FASN, CD44 and GLUT-1 expression","Pontes HA, Pontes FS, Silva BS, Fonseca FP, Andrade BA, Rizo VH, Romañach MJ, León JE, Almeida OP.","Braz Dent J. 2013;24(3):284-8. doi: 10.1590/0103-6440201302202.","Pontes HA","Braz Dent J","2013","2013/08/24","","","10.1590/0103-6440201302202"
"24332692","Orbital involvement by non-Hodgkin lymphoma NK T cells","Hervás-Ontiveros A, España-Gregori E, Hernández-Martínez P, Vera-Sempere FJ, Díaz-Llopis M.","Arch Soc Esp Oftalmol. 2014 Nov;89(11):450-3. doi: 10.1016/j.oftal.2013.10.006. Epub 2013 Dec 12.","Hervás-Ontiveros A","Arch Soc Esp Oftalmol","2014","2013/12/17","","","10.1016/j.oftal.2013.10.006"
"23688595","Extranodal lymphomas of head and neck with emphasis on NK/T-cell lymphoma, nasal type","Coha B, Vucinic I, Mahovne I, Vukovic-Arar Z.","J Craniomaxillofac Surg. 2014 Mar;42(2):149-52. doi: 10.1016/j.jcms.2013.04.004. Epub 2013 May 18.","Coha B","J Craniomaxillofac Surg","2014","2013/05/22","","","10.1016/j.jcms.2013.04.004"
"31137150","[Ocular natural killer/T cell lymphoma: a clinicopathologic analysis]","Bi YW, Wang SY, Qian J, Yuan YF, Li XQ, Zhu XZ.","Zhonghua Yan Ke Za Zhi. 2019 May 11;55(5):374-380. doi: 10.3760/cma.j.issn.0412-4081.2019.05.012.","Bi YW","Zhonghua Yan Ke Za Zhi","2019","2019/05/29","","","10.3760/cma.j.issn.0412-4081.2019.05.012"
"34995382","Extra-nasal NK/T-cell lymphoma: A rare case with a rarer presentation","Kumar C, Jain G, Gupta A, Pramanik R, Chopra A.","Cytopathology. 2022 Jul;33(4):518-521. doi: 10.1111/cyt.13095. Epub 2022 Feb 19.","Kumar C","Cytopathology","2022","2022/01/07","","","10.1111/cyt.13095"
"29978138","A case of primary extranodal natural killer/T-cell lymphoma in the orbit and intraocular tissues with cerebrospinal fluid involvement","Okada A, Harada Y, Inoue T, Okikawa Y, Ichinohe T, Kiuchi Y.","Am J Ophthalmol Case Rep. 2018 May 17;11:37-40. doi: 10.1016/j.ajoc.2018.05.002. eCollection 2018 Sep.","Okada A","Am J Ophthalmol Case Rep","2018","2018/07/07","PMC6026719","","10.1016/j.ajoc.2018.05.002"
"24621697","Extranodal natural killer/T-cell lymphoma, nasal type, of the orbit mimicking recurrent orbital cellulitis","Kim JW, An JH.","J Craniofac Surg. 2014 Mar;25(2):509-11. doi: 10.1097/SCS.0000000000000677.","Kim JW","J Craniofac Surg","2014","2014/03/14","","","10.1097/SCS.0000000000000677"
"27932776","Nasal Type Extranodal Natural Killer/T (NK/T) Cell Lymphoma Presenting as Periorbital Cellulitis: A Case Report","Al Shawabkeh MA, Al Sulaiti M, Al Sa'ey H, Ganesan S.","Am J Case Rep. 2016 Dec 9;17:934-938. doi: 10.12659/ajcr.899922.","Al Shawabkeh MA","Am J Case Rep","2016","2016/12/10","PMC5153321","","10.12659/ajcr.899922"
"30516405","Recurrent natural killer/T-cell lymphoma of the lacrimal sac and nasolacrimal duct in a 59-year-old Caucasian woman","Jones DL, van Landingham SW, Yu JJ, Lucarelli MJ.","Orbit. 2019 Oct;38(5):428-431. doi: 10.1080/01676830.2018.1546750. Epub 2018 Dec 5.","Jones DL","Orbit","2019","2018/12/06","","","10.1080/01676830.2018.1546750"
"14719563","Sinonasal NK/T-cell lymphoma with upper gastrointestinal bleeding: a case report","Huang KJ, Wang LF, Lee KW, Ho KY, Kuo WR, Tsai KB, Chuang JH.","Kaohsiung J Med Sci. 2003 Dec;19(12):639-43. doi: 10.1016/S1607-551X(09)70519-4.","Huang KJ","Kaohsiung J Med Sci","2003","2004/01/15","","","10.1016/S1607-551X(09)70519-4"
"34150783","Case Report: Rhizopus arrhizus Rhino-Orbital-Cerebral Mycosis and Lethal Midline Granuloma: Another Fungal Etiological Agent","Li DM, Lun L, Ge J, Zhang GJ, Li XL, de Hoog GS.","Front Med (Lausanne). 2021 Jun 2;8:578684. doi: 10.3389/fmed.2021.578684. eCollection 2021.","Li DM","Front Med (Lausanne)","2021","2021/06/21","PMC8208083","","10.3389/fmed.2021.578684"
"19225229","[Long-term remission of a nasal NK/T-cell lymphoma patient with massive involvement of the orbita and liver dysfunction]","Monma F, Ueno S, Yamaguchi M, Tawara I, Miyazaki K, Nishii K, Nakase K, Katayama N.","Rinsho Ketsueki. 2009 Jan;50(1):44-8.","Monma F","Rinsho Ketsueki","2009","2009/02/20","","",""
"12673566","Nasal-type NK/T cell lymphoma of the orbit with distant metastases","Kuwabara H, Tsuji M, Yoshii Y, Kakuno Y, Akioka T, Kotani T, Iwao N, Hanafusa T, Ikeda T, Mori H.","Hum Pathol. 2003 Mar;34(3):290-2. doi: 10.1053/hupa.2003.33.","Kuwabara H","Hum Pathol","2003","2003/04/04","","","10.1053/hupa.2003.33"
"22120749","The diagnosis of sinonasal lymphoma: a challenge for rhinologists","Yen TT, Wang RC, Jiang RS, Chen SC, Wu SH, Liang KL.","Eur Arch Otorhinolaryngol. 2012 May;269(5):1463-9. doi: 10.1007/s00405-011-1839-9. Epub 2011 Nov 26.","Yen TT","Eur Arch Otorhinolaryngol","2012","2011/11/29","","","10.1007/s00405-011-1839-9"
"18510242","[Clinicopathologic observation of orbital natural killer-T cell lymphoma]","Luo QL, He WM, Tang L, Liao YC, Yang YL.","Zhonghua Yan Ke Za Zhi. 2008 Jan;44(1):42-5.","Luo QL","Zhonghua Yan Ke Za Zhi","2008","2008/05/31","","",""
"23037631","Orbital inflammatory lesion as an initial manifestation of systemic nasal type NK/T-cell lymphoma","Kawakami K, Ito R, Tono Y, Yazaki A, Murata T, Baba Y, Uchiyama T, Ito M.","J Clin Exp Hematop. 2012;52(2):137-9. doi: 10.3960/jslrt.52.137.","Kawakami K","J Clin Exp Hematop","2012","2012/10/06","","","10.3960/jslrt.52.137"
"28855986","Treatment of relapsed extranodal natural killer/T-cell lymphoma with bortezomib plus fludarabine","Chen C, He H.","Mol Clin Oncol. 2017 Oct;7(4):525-528. doi: 10.3892/mco.2017.1364. Epub 2017 Aug 4.","Chen C","Mol Clin Oncol","2017","2017/09/01","PMC5574062","","10.3892/mco.2017.1364"
"25669925","Proton therapy in the management of non-Hodgkin lymphoma","Sachsman S, Flampouri S, Li Z, Lynch J, Mendenhall NP, Hoppe BS.","Leuk Lymphoma. 2015;56(9):2608-12. doi: 10.3109/10428194.2015.1014364. Epub 2015 May 18.","Sachsman S","Leuk Lymphoma","2015","2015/02/12","PMC4732409","","10.3109/10428194.2015.1014364"
"17255761","Lymphoma of the ocular adnexa: A study of 353 cases","Ferry JA, Fung CY, Zukerberg L, Lucarelli MJ, Hasserjian RP, Preffer FI, Harris NL.","Am J Surg Pathol. 2007 Feb;31(2):170-84. doi: 10.1097/01.pas.0000213350.49767.46.","Ferry JA","Am J Surg Pathol","2007","2007/01/27","","","10.1097/01.pas.0000213350.49767.46"
"16191803","A rapidly fatal case of T-cell lymphoma presenting as idiopathic orbital inflammation","Papalkar D, Sharma S, Francis IC, Downie JA, Thanakrishnan G, Hughes LJ.","Orbit. 2005 Jun;24(2):131-3. doi: 10.1080/01676830490916064.","Papalkar D","Orbit","2005","2005/09/30","","","10.1080/01676830490916064"
"29703034","Usefulness of 18F-FDG PET/CT for evaluating response of ocular adnexal lymphoma to treatment","Fujii H, Tanaka H, Nomoto Y, Harata N, Oota S, Isogai J, Yoshida K.","Medicine (Baltimore). 2018 Apr;97(17):e0543. doi: 10.1097/MD.0000000000010543.","Fujii H","Medicine (Baltimore)","2018","2018/04/29","PMC5944548","","10.1097/MD.0000000000010543"
"29798121","[Clinicopathologic analysis of extranodal non-hodgkin lymphoma of the sinonasal cavities: a 15-case report]","Zhang YH, Duan QC, Zuo Q, Du C, Xie LF, Zhu L.","Lin Chung Er Bi Yan Hou Tou Jing Wai Ke Za Zhi. 2017 Nov 5;31(21):1653-1657. doi: 10.13201/j.issn.1001-1781.2017.21.008.","Zhang YH","Lin Chung Er Bi Yan Hou Tou Jing Wai Ke Za Zhi","2017","2018/05/26","","","10.13201/j.issn.1001-1781.2017.21.008"
"18812662","[Characteristics of ocular adnexal non-Hodgkin lymphoma]","Yi WS, Xu XL, Xiang Q, Jiang HB.","Zhong Nan Da Xue Xue Bao Yi Xue Ban. 2008 Sep;33(9):826-30.","Yi WS","Zhong Nan Da Xue Xue Bao Yi Xue Ban","2008","2008/09/25","","",""
"19360743","Extranodal nasal-type natural killer/T-cell lymphoma masquerading as recalcitrant sinusitis","Paik YS, Liess BD, Scheidt TD, Ingram EA, Zitsch RP 3rd.","Head Neck. 2010 Feb;32(2):268-73. doi: 10.1002/hed.21068.","Paik YS","Head Neck","2010","2009/04/11","","","10.1002/hed.21068"
"14674990","No evidence of a correlation between BCL10 expression and API2-MALT1 gene rearrangement in ocular adnexal MALT lymphoma","Adachi A, Tamaru J, Kaneko K, Kuroda H, Miura I, Kojima T, Hoshino S, Ichinohasama R, Itoyama S.","Pathol Int. 2004 Jan;54(1):16-25. doi: 10.1111/j.1440-1827.2004.01580.x.","Adachi A","Pathol Int","2004","2003/12/17","","","10.1111/j.1440-1827.2004.01580.x"
"22323887","Intraocular involvement of a nasal natural killer T-cell lymphoma: a case report","Yoo JH, Kim SY, Jung KB, Lee JJ, Lee SJ.","Korean J Ophthalmol. 2012 Feb;26(1):54-7. doi: 10.3341/kjo.2012.26.1.54. Epub 2012 Jan 14.","Yoo JH","Korean J Ophthalmol","2012","2012/02/11","PMC3268170","","10.3341/kjo.2012.26.1.54"
"25026804","[Differential diagnosis of rheumatic diseases and blood cancers involving the nasal cavity and accessory sinuses]","Vasil'ev VI, Sokol EV, Sedyshev SKh, Gorodetskiĭ VR, Aleksandrova EN, Logvinenko OA, Pal'shina SG, Rodionova EB, Radenska-Lopovok SG, Probatova NA, Kokosadze NV, Pavlovskaia AI, Kovrigina AM, Varlamova EIu, Safonova TN, Borovskaia AB, Gaĭduk IV, Mukhortova OV, Aslanidi IP, Nasonov EL.","Ter Arkh. 2014;86(5):62-72.","Vasil'ev VI","Ter Arkh","2014","2014/07/17","","",""
