PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34686755","Keratoconus patients exhibit a distinct ocular surface immune cell and inflammatory profile","D'Souza S, Nair AP, Sahu GR, Vaidya T, Shetty R, Khamar P, Mullick R, Gupta S, Dickman MM, Nuijts RMMA, Mohan RR, Ghosh A, Sethu S.","Sci Rep. 2021 Oct 22;11(1):20891. doi: 10.1038/s41598-021-99805-9.","D'Souza S","Sci Rep","2021","2021/10/23","PMC8536707","","10.1038/s41598-021-99805-9"
"21438737","Rapidly fatal nasal natural killer/T-cell lymphoma: orbital and ocular adnexal presentations","Yousuf SJ, Kumar N, Kidwell ED Jr, Copeland RA Jr.","Orbit. 2011 Mar;30(2):120-1. doi: 10.3109/01676830.2010.546933.","Yousuf SJ","Orbit","2011","2011/03/29","","","10.3109/01676830.2010.546933"
"10571346","T-cell and T/natural killer-cell lymphomas involving ocular and ocular adnexal tissues: a clinicopathologic, immunohistochemical, and molecular study of seven cases","Coupland SE, Foss HD, Assaf C, Auw-Haedrich C, Anastassiou G, Anagnostopoulos I, Hummel M, Karesh JW, Lee WR, Stein H.","Ophthalmology. 1999 Nov;106(11):2109-20. doi: 10.1016/S0161-6420(99)90492-X.","Coupland SE","Ophthalmology","1999","1999/11/26","","","10.1016/S0161-6420(99)90492-X"
"34110502","The role of IL-12 in stimulating NK cells against Toxoplasma gondii infection: a mini-review","Mahmoudzadeh S, Nozad Charoudeh H, Marques CS, Bahadory S, Ahmadpour E.","Parasitol Res. 2021 Jul;120(7):2303-2309. doi: 10.1007/s00436-021-07204-w. Epub 2021 Jun 10.","Mahmoudzadeh S","Parasitol Res","2021","2021/06/10","","","10.1007/s00436-021-07204-w"
"25938379","Recent Concise Viewpoints of Chronic Active Epstein-Barr Virus Infection","Okano M.","Curr Pediatr Rev. 2015;11(1):5-9. doi: 10.2174/1573396311666150501002809.","Okano M","Curr Pediatr Rev","2015","2015/05/05","","","10.2174/1573396311666150501002809"
"17700233","Lymphoproliferative disease of the orbit","Bernardini FP, Bazzan M.","Curr Opin Ophthalmol. 2007 Sep;18(5):398-401. doi: 10.1097/ICU.0b013e3282be8fbb.","Bernardini FP","Curr Opin Ophthalmol","2007","2007/08/19","","","10.1097/ICU.0b013e3282be8fbb"
"33347870","The protective function of invariant natural killer T cells in the relapse of experimental autoimmune uveoretinitis","Tajiri N, Kato T, Satoh M, Iizuka M, Taniguchi M, Kitaichi N, Iwabuchi K.","Exp Eye Res. 2021 Feb;203:108406. doi: 10.1016/j.exer.2020.108406. Epub 2020 Dec 19.","Tajiri N","Exp Eye Res","2021","2020/12/21","","","10.1016/j.exer.2020.108406"
"35346113","First observation of intraocular extranodal natural killer/T-cell lymphoma secondary to a retroperitoneal tumour: a case report and comparative review","Chen B, Yang S, Su W.","BMC Ophthalmol. 2022 Mar 26;22(1):141. doi: 10.1186/s12886-022-02362-6.","Chen B","BMC Ophthalmol","2022","2022/03/29","PMC8962092","","10.1186/s12886-022-02362-6"
"32536916","Cord Blood Platelet Rich Plasma Derivatives for Clinical Applications in Non-transfusion Medicine","Samarkanova D, Cox S, Hernandez D, Rodriguez L, Casaroli-Marano RP, Madrigal A, Querol S.","Front Immunol. 2020 May 27;11:942. doi: 10.3389/fimmu.2020.00942. eCollection 2020.","Samarkanova D","Front Immunol","2020","2020/06/16","PMC7266986","","10.3389/fimmu.2020.00942"
"29560621","Distribution of Interleukin-22-secreting Immune Cells in Conjunctival Associated Lymphoid Tissue","Yoon CH, Lee D, Jeong HJ, Ryu JS, Kim MK.","Korean J Ophthalmol. 2018 Apr;32(2):147-153. doi: 10.3341/kjo.2017.0068. Epub 2018 Mar 19.","Yoon CH","Korean J Ophthalmol","2018","2018/03/22","PMC5906400","","10.3341/kjo.2017.0068"
"34631546","Case Report: Ocular Manifestations and Treatments of Ciliary Body Involvement by Lymphoma","Di Y, Ye J, Han R, Li M, Zhang B.","Front Oncol. 2021 Sep 23;11:718759. doi: 10.3389/fonc.2021.718759. eCollection 2021.","Di Y","Front Oncol","2021","2021/10/11","PMC8495122","","10.3389/fonc.2021.718759"
"23715149","Ocular masquerade syndrome associated with extranodal nasal natural killer/T-cell lymphoma: case report","Abe RY, Pinto RD, Bonfitto JF, Lira RP, Arieta CE.","Arq Bras Oftalmol. 2012 Nov-Dec;75(6):430-2. doi: 10.1590/s0004-27492012000600013.","Abe RY","Arq Bras Oftalmol","2012","2013/05/30","","","10.1590/s0004-27492012000600013"
"33314028","Vogt-Koyanagi-Harada patients show higher frequencies of circulating NKG2D(pos) NK and NK T cells","Bonacini M, Cimino L, De Simone L, Bolletta E, Gozzi F, Soriano A, Muratore F, Zerbini A, Fontana L, Salvarani C, Croci S.","Clin Exp Immunol. 2021 Apr;204(1):41-48. doi: 10.1111/cei.13563. Epub 2020 Dec 27.","Bonacini M","Clin Exp Immunol","2021","2020/12/14","PMC7944359","","10.1111/cei.13563"
"20535664","[Infectious agents in ocular adnexal tumours]","Auw-Hädrich C, Göbel N, Illerhaus G.","Klin Monbl Augenheilkd. 2010 Jul;227(7):530-7. doi: 10.1055/s-0029-1245153. Epub 2010 Jun 9.","Auw-Hädrich C","Klin Monbl Augenheilkd","2010","2010/06/11","","","10.1055/s-0029-1245153"
"24134793","Clinical, laboratory and molecular signs of immunodeficiency in patients with partial oculo-cutaneous albinism","Dotta L, Parolini S, Prandini A, Tabellini G, Antolini M, Kingsmore SF, Badolato R.","Orphanet J Rare Dis. 2013 Oct 17;8:168. doi: 10.1186/1750-1172-8-168.","Dotta L","Orphanet J Rare Dis","2013","2013/10/19","PMC3856608","","10.1186/1750-1172-8-168"
"34215804","Cord blood and amniotic membrane extract eye drop preparations display immune-suppressive and regenerative properties","Samarkanova D, Cox S, Hernandez D, Rodriguez L, Pérez ML, Madrigal A, Vilarrodona A, Querol S, Casaroli-Marano RP.","Sci Rep. 2021 Jul 2;11(1):13754. doi: 10.1038/s41598-021-93150-7.","Samarkanova D","Sci Rep","2021","2021/07/03","PMC8253755","","10.1038/s41598-021-93150-7"
"20508050","Scleritis and multiple systemic autoimmune manifestations in chronic natural killer cell lymphocytosis associated with elevated TCRalpha/beta+CD3+CD4-CD8- double-negative T cells","Yeh S, Li Z, Sen HN, Lim WK, Gill F, Perkins K, Rao VK, Nussenblatt RB.","Br J Ophthalmol. 2010 Jun;94(6):748-52. doi: 10.1136/bjo.2009.171264.","Yeh S","Br J Ophthalmol","2010","2010/05/29","PMC3172679","NIHMS320628","10.1136/bjo.2009.171264"
"10774588","The role of natural killer cells in protection of mice against death and corneal scarring following ocular HSV-1 infection","Ghiasi H, Cai S, Perng GC, Nesburn AB, Wechsler SL.","Antiviral Res. 2000 Jan;45(1):33-45. doi: 10.1016/s0166-3542(99)00075-3.","Ghiasi H","Antiviral Res","2000","2000/04/25","","","10.1016/s0166-3542(99)00075-3"
"18802344","Control of delayed-type hypersensitivity by ocular- induced CD8+ regulatory t cells","Cone R, Chattopadhyay S, O'Rourke J.","Chem Immunol Allergy. 2008;94:138-149. doi: 10.1159/000154998.","Cone R","Chem Immunol Allergy","2008","2008/09/20","","","10.1159/000154998"
"17264488","Cross talk among cells promoting anterior chamber-associated immune deviation","Stein-Streilein J, Watte C.","Chem Immunol Allergy. 2007;92:115-130. doi: 10.1159/000099262.","Stein-Streilein J","Chem Immunol Allergy","2007","2007/02/01","","","10.1159/000099262"
"24229632","New insights into rosacea pathophysiology: a review of recent findings","Steinhoff M, Schauber J, Leyden JJ.","J Am Acad Dermatol. 2013 Dec;69(6 Suppl 1):S15-26. doi: 10.1016/j.jaad.2013.04.045.","Steinhoff M","J Am Acad Dermatol","2013","2013/11/16","","","10.1016/j.jaad.2013.04.045"
"30717991","The factors associated with the early diagnosis of nasal NK/T-cell lymphoma with prominent ocular symptoms and general nasal NKTL","Hu ZZ, Wang Y.","Am J Otolaryngol. 2019 May-Jun;40(3):353-357. doi: 10.1016/j.amjoto.2019.01.012. Epub 2019 Jan 28.","Hu ZZ","Am J Otolaryngol","2019","2019/02/06","","","10.1016/j.amjoto.2019.01.012"
"6235470","B- and T-lymphocytes in ocular disease","Jakobiec FA, Lefkowitch J, Knowles DM 2nd.","Ophthalmology. 1984 Jun;91(6):635-54. doi: 10.1016/s0161-6420(84)34256-7.","Jakobiec FA","Ophthalmology","1984","1984/06/01","","","10.1016/s0161-6420(84)34256-7"
"12885934","Ocular immune privilege: the eye takes a dim but practical view of immunity and inflammation","Streilein JW.","J Leukoc Biol. 2003 Aug;74(2):179-85. doi: 10.1189/jlb.1102574.","Streilein JW","J Leukoc Biol","2003","2003/07/30","","","10.1189/jlb.1102574"
"27720708","Invariant natural killer T cells play dual roles in the development of experimental autoimmune uveoretinitis","Satoh M, Namba KI, Kitaichi N, Endo N, Kitamei H, Iwata D, Ohno S, Ishida S, Onoé K, Watarai H, Taniguchi M, Ishibashi T, Stein-Streilein J, Sonoda KH, Van Kaer L, Iwabuchi K.","Exp Eye Res. 2016 Dec;153:79-89. doi: 10.1016/j.exer.2016.10.003. Epub 2016 Oct 5.","Satoh M","Exp Eye Res","2016","2016/10/11","","","10.1016/j.exer.2016.10.003"
"23814042","A reappraisal of the diagnostic and therapeutic management of uncommon histologies of primary ocular adnexal lymphoma","Ponzoni M, Govi S, Licata G, Mappa S, Giordano Resti A, Politi LS, Spagnuolo L, Di Cairano E, Doglioni C, Ferreri AJ.","Oncologist. 2013;18(7):876-84. doi: 10.1634/theoncologist.2012-0425. Epub 2013 Jun 28.","Ponzoni M","Oncologist","2013","2013/07/02","PMC3720642","","10.1634/theoncologist.2012-0425"
"35736984","Pathogenesis and Manifestations of Zika Virus-Associated Ocular Diseases","Labib BA, Chigbu DI.","Trop Med Infect Dis. 2022 Jun 15;7(6):106. doi: 10.3390/tropicalmed7060106.","Labib BA","Trop Med Infect Dis","2022","2022/06/23","PMC9229560","","10.3390/tropicalmed7060106"
"34584910","Characterization of autologous platelet rich plasma (PRP) and its biological effects in patients with Behçet's Disease","Huber SC, de Lima Montalvão SA, Sachetto Z, Santos Duarte Lana JF, Annichino-Bizzacchi JM.","Regen Ther. 2021 Sep 9;18:339-346. doi: 10.1016/j.reth.2021.08.010. eCollection 2021 Dec.","Huber SC","Regen Ther","2021","2021/09/29","PMC8441104","","10.1016/j.reth.2021.08.010"
"25389681","Intraocular metastasis of testicular natural killer T-cell lymphoma with diffuse retinal pigment epithelium changes","Huang JJ.","Retin Cases Brief Rep. 2011 Winter;5(1):42-5. doi: 10.1097/ICB.0b013e3181c333bc.","Huang JJ","Retin Cases Brief Rep","2011","2014/11/13","","","10.1097/ICB.0b013e3181c333bc"
"34986043","Bilateral intraocular and lung involvements associated with Nasal NK/T-cell lymphoma","Wang L, Jia M, Zhang R, Casalino G, Chakravarthy U, Wang Y.","Eur J Ophthalmol. 2022 Jan 5:11206721211070930. doi: 10.1177/11206721211070930. Online ahead of print.","Wang L","Eur J Ophthalmol","2022","2022/01/05","","","10.1177/11206721211070930"
"25811726","Conjunctival extranodal natural killer/T-cell lymphoma, nasal type","Kiratli H, Uzun S, Yeşilirmak A, Ayhan AS, Soylemezoğlu F.","Cornea. 2015 Jun;34(6):710-2. doi: 10.1097/ICO.0000000000000420.","Kiratli H","Cornea","2015","2015/03/27","","","10.1097/ICO.0000000000000420"
"30517642","Insights Into Local Orbital Immunity: Evidence for the Involvement of the Th17 Cell Pathway in Thyroid-Associated Ophthalmopathy","Fang S, Huang Y, Wang N, Zhang S, Zhong S, Li Y, Sun J, Liu X, Wang Y, Gu P, Li B, Zhou H, Fan X.","J Clin Endocrinol Metab. 2019 May 1;104(5):1697-1711. doi: 10.1210/jc.2018-01626.","Fang S","J Clin Endocrinol Metab","2019","2018/12/06","","","10.1210/jc.2018-01626"
"26585973","First case of primary intraocular natural killer t-cell lymphoma","Maruyama K, Kunikata H, Sugita S, Mochizuki M, Ichinohasama R, Nakazawa T.","BMC Ophthalmol. 2015 Nov 19;15:169. doi: 10.1186/s12886-015-0158-0.","Maruyama K","BMC Ophthalmol","2015","2015/11/21","PMC4653874","","10.1186/s12886-015-0158-0"
"30319620","Higher Frequencies of Lymphocytes Expressing the Natural Killer Group 2D Receptor in Patients With Behçet Disease","Bonacini M, Soriano A, Zerbini A, Calò E, Cimino L, Muratore F, Fontana L, Braglia L, Parmeggiani M, Salvarani C, Croci S.","Front Immunol. 2018 Sep 25;9:2157. doi: 10.3389/fimmu.2018.02157. eCollection 2018.","Bonacini M","Front Immunol","2018","2018/10/16","PMC6167483","","10.3389/fimmu.2018.02157"
"17264503","Influence of immune surveillance and immune privilege on formation of intraocular tumors","Chen PW, Ksander BR.","Chem Immunol Allergy. 2007;92:276-289. doi: 10.1159/000099278.","Chen PW","Chem Immunol Allergy","2007","2007/02/01","","","10.1159/000099278"
"22511850","Ocular pathogenesis and immune reaction after intravitreal dispase injection in mice","Tan J, Liu Y, Li W, Gao Q.","Mol Vis. 2012;18:887-900. Epub 2012 Apr 7.","Tan J","Mol Vis","2012","2012/04/19","PMC3327440","",""
"16911982","Retinoblastoma: expression of HLA-G","Adithi M, Kandalam M, Ramkumar HL, Subramanian A, Venkatesan N, Krishnakumar S.","Ocul Immunol Inflamm. 2006 Aug;14(4):207-13. doi: 10.1080/09273940600826497.","Adithi M","Ocul Immunol Inflamm","2006","2006/08/17","","","10.1080/09273940600826497"
"18411715","[Association of ocular inflammation and innate immune response]","Sonoda KH.","Nippon Ganka Gakkai Zasshi. 2008 Mar;112(3):279-97; discussion 298.","Sonoda KH","Nippon Ganka Gakkai Zasshi","2008","2008/04/17","","",""
"30630233","[Clinical and genetic manifestations of immunodeficiency, centromeric instability, and facial anomalies syndrome: a case report and literature review]","Hu SC, Wang YB, Sun Q, Liu XR, Sun LL, Cui GM.","Zhonghua Er Ke Za Zhi. 2019 Jan 2;57(1):55-59. doi: 10.3760/cma.j.issn.0578-1310.2019.01.013.","Hu SC","Zhonghua Er Ke Za Zhi","2019","2019/01/12","","","10.3760/cma.j.issn.0578-1310.2019.01.013"
"21212171","γδ T cells are required for maximal expression of allergic conjunctivitis","Reyes NJ, Mayhew E, Chen PW, Niederkorn JY.","Invest Ophthalmol Vis Sci. 2011 Apr 6;52(5):2211-6. doi: 10.1167/iovs.10-5959.","Reyes NJ","Invest Ophthalmol Vis Sci","2011","2011/01/08","PMC3080177","","10.1167/iovs.10-5959"
"19882515","Natural killer/T-cell lymphoma of nasal type with intraocular involvement: case report","Lee EJ, Kim TW, Heo JW, Yu HG, Chung H.","Eur J Ophthalmol. 2010 Jan-Feb;20(1):215-7. doi: 10.1177/112067211002000130.","Lee EJ","Eur J Ophthalmol","2010","2009/11/03","","","10.1177/112067211002000130"
"27680487","Extranodal Natural Killer/T-Cell Lymphoma, Nasal Type, with Primary Manifestation as an Upper Eyelid Swelling","Kanzaki A, Funasaka Y, Nakamizo M, Shima A, Ryotokuji T, Dan K, Terasaki M, Sugisaki Y, Fukuda Y, Kawana S, Saeki H.","J Nippon Med Sch. 2016;83(4):177-9. doi: 10.1272/jnms.83.177.","Kanzaki A","J Nippon Med Sch","2016","2016/09/30","","","10.1272/jnms.83.177"
"35100995","Extranodal natural killer/T-cell lymphoma presenting as hypopyon panuveitis: a case report","Sukon N, Tesavibul N, Choopong P, Panyayingyong N, Boonsopon S.","BMC Ophthalmol. 2022 Feb 1;22(1):46. doi: 10.1186/s12886-022-02277-2.","Sukon N","BMC Ophthalmol","2022","2022/02/01","PMC8803407","","10.1186/s12886-022-02277-2"
"17944931","CD4+ T-cell-dependent tumour rejection in an immune-privileged environment requires macrophages","Dace DS, Chen PW, Niederkorn JY.","Immunology. 2008 Mar;123(3):367-77. doi: 10.1111/j.1365-2567.2007.02700.x. Epub 2007 Oct 17.","Dace DS","Immunology","2008","2007/10/20","PMC2433326","","10.1111/j.1365-2567.2007.02700.x"
"27490240","KIR and HLA Genotypes Implicated in Reduced Killer Lymphocytes Immunity Are Associated with Vogt-Koyanagi-Harada Disease","Levinson RD, Yung M, Meguro A, Ashouri E, Yu F, Mizuki N, Ohno S, Rajalingam R.","PLoS One. 2016 Aug 4;11(8):e0160392. doi: 10.1371/journal.pone.0160392. eCollection 2016.","Levinson RD","PLoS One","2016","2016/08/05","PMC4973954","","10.1371/journal.pone.0160392"
"22323887","Intraocular involvement of a nasal natural killer T-cell lymphoma: a case report","Yoo JH, Kim SY, Jung KB, Lee JJ, Lee SJ.","Korean J Ophthalmol. 2012 Feb;26(1):54-7. doi: 10.3341/kjo.2012.26.1.54. Epub 2012 Jan 14.","Yoo JH","Korean J Ophthalmol","2012","2012/02/11","PMC3268170","","10.3341/kjo.2012.26.1.54"
"31542616","Network pharmacology-based identification of the key mechanism of Qinghuo Rougan Formula acting on uveitis","Jing C, Sun Z, Xie X, Zhang X, Wu S, Guo K, Bi H.","Biomed Pharmacother. 2019 Dec;120:109381. doi: 10.1016/j.biopha.2019.109381. Epub 2019 Sep 19.","Jing C","Biomed Pharmacother","2019","2019/09/23","","","10.1016/j.biopha.2019.109381"
"21178983","Homeostatic control of conjunctival mucosal goblet cells by NKT-derived IL-13","De Paiva CS, Raince JK, McClellan AJ, Shanmugam KP, Pangelinan SB, Volpe EA, Corrales RM, Farley WJ, Corry DB, Li DQ, Pflugfelder SC.","Mucosal Immunol. 2011 Jul;4(4):397-408. doi: 10.1038/mi.2010.82. Epub 2010 Dec 22.","De Paiva CS","Mucosal Immunol","2011","2010/12/24","PMC3577073","NIHMS261347","10.1038/mi.2010.82"
"17767552","Association of CD94/NKG2A, CD94/NKG2C, and its ligand HLA-E polymorphisms with Behcet's disease","Seo J, Park JS, Nam JH, Bang D, Sohn S, Lee ES, Park KS.","Tissue Antigens. 2007 Oct;70(4):307-13. doi: 10.1111/j.1399-0039.2007.00907.x.","Seo J","Tissue Antigens","2007","2007/09/05","","","10.1111/j.1399-0039.2007.00907.x"
"8460003","The conjunctiva in acute and chronic mucous membrane pemphigoid. An immunohistochemical analysis","Bernauer W, Wright P, Dart JK, Leonard JN, Lightman S.","Ophthalmology. 1993 Mar;100(3):339-46. doi: 10.1016/s0161-6420(93)31644-1.","Bernauer W","Ophthalmology","1993","1993/03/01","","","10.1016/s0161-6420(93)31644-1"
"20504886","NKT cells are necessary for maximal expression of allergic conjunctivitis","Reyes NJ, Mayhew E, Chen PW, Niederkorn JY.","Int Immunol. 2010 Aug;22(8):627-36. doi: 10.1093/intimm/dxq046. Epub 2010 May 26.","Reyes NJ","Int Immunol","2010","2010/05/28","PMC2908474","","10.1093/intimm/dxq046"
"28275603","Isolated Extranodal Natural Killer T-Cell Lymphoma of the Orbit in a Young Patient: Complete Regression with the SMILE Regimen","Meel R, Dhiman R, Wadhwani M, Kashyap S, Sharma S, Gogia A.","Ocul Oncol Pathol. 2017 Jan;3(1):45-48. doi: 10.1159/000449227. Epub 2016 Sep 30.","Meel R","Ocul Oncol Pathol","2017","2017/03/10","PMC5318847","","10.1159/000449227"
